nombre,capital,region,poblacion
French Southern and Antarctic Lands,Port-aux-Français,Antarctic,400
Bosnia and Herzegovina,Sarajevo,Europe,3280815
United States Virgin Islands,Charlotte Amalie,Americas,106290
Nauru,Yaren,Oceania,10834
Kenya,Nairobi,Africa,53771300
Angola,Luanda,Africa,32866268
Mexico,Mexico City,Americas,128932753
Jordan,Amman,Asia,10203140
Anguilla,The Valley,Americas,13452
Cayman Islands,George Town,Americas,65720
New Zealand,Wellington,Oceania,5084300
Uruguay,Montevideo,Americas,3473727
Latvia,Riga,Europe,1901548
Ethiopia,Addis Ababa,Africa,114963583
Saint Martin,Marigot,Americas,38659
Botswana,Gaborone,Africa,2351625
São Tomé and Príncipe,São Tomé,Africa,219161
Republic of the Congo,Brazzaville,Africa,5657000
Comoros,Moroni,Africa,869595
Sri Lanka,Sri Jayawardenepura Kotte,Asia,21919000
North Korea,Pyongyang,Asia,25778815
Vanuatu,Port Vila,Oceania,307150
Thailand,Bangkok,Asia,69799978
Cook Islands,Avarua,Oceania,18100
Czechia,Prague,Europe,10698896
Russia,Moscow,Europe,144104080
Belarus,Minsk,Europe,9398861
Guyana,Georgetown,Americas,786559
Sweden,Stockholm,Europe,10353442
Isle of Man,Douglas,Europe,85032
Finland,Helsinki,Europe,5530719
Portugal,Lisbon,Europe,10305564
Burundi,Gitega,Africa,11890781
Guernsey,St. Peter Port,Europe,62999
American Samoa,Pago Pago,Oceania,55197
Netherlands,Amsterdam,Europe,16655799
Ecuador,Quito,Americas,17643060
Croatia,Zagreb,Europe,4047200
Malaysia,Kuala Lumpur,Asia,32365998
Saint Lucia,Castries,Americas,183629
Zambia,Lusaka,Africa,18383956
Rwanda,Kigali,Africa,12952209
Martinique,Fort-de-France,Americas,378243
Bolivia,Sucre,Americas,11673029
Mauritius,Port Louis,Africa,1265740
Moldova,Chișinău,Europe,2617820
Poland,Warsaw,Europe,37950802
Niue,Alofi,Oceania,1470
Sierra Leone,Freetown,Africa,7976985
Estonia,Tallinn,Europe,1331057
